Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
MNIST,softmax,static,dirichlet,Mean,118,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,119,losses,1.6393910942077636,nan
MNIST,softmax,static,dirichlet,Mean,120,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,121,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,122,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,123,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,124,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,125,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,126,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,127,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,128,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,129,losses,1.6013837429046631,nan
MNIST,softmax,static,dirichlet,Mean,130,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,131,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,132,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,133,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,134,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,135,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,136,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,137,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,138,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,139,losses,1.565076767539978,nan
MNIST,softmax,static,dirichlet,Mean,140,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,141,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,142,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,143,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,144,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,145,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,146,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,147,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,148,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,149,losses,1.5308935703277589,nan
MNIST,softmax,static,dirichlet,Mean,150,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,151,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,152,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,153,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,154,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,155,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,156,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,157,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,158,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,159,losses,1.4993925638198853,nan
MNIST,softmax,static,dirichlet,Mean,160,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,161,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,162,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,163,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,164,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,165,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,166,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,167,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,168,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,169,losses,1.4702757024765014,nan
MNIST,softmax,static,dirichlet,Mean,170,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,171,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,172,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,173,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,174,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,175,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,176,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,177,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,178,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,179,losses,1.442594708442688,nan
MNIST,softmax,static,dirichlet,Mean,180,losses,1.4159233640670776,nan
MNIST,softmax,static,dirichlet,Mean,181,losses,1.4159233640670776,nan
MNIST,softmax,static,dirichlet,Mean,182,losses,1.4159233640670776,nan
MNIST,softmax,static,dirichlet,Mean,183,losses,1.4159233640670776,nan
MNIST,softmax,static,dirichlet,Mean,184,losses,1.4159233640670776,nan
MNIST,softmax,static,dirichlet,Mean,185,losses,1.4159233640670776,nan
MNIST,softmax,static,dirichlet,Mean,186,losses,1.4159233640670776,nan
