Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
CIFAR-10,softmax,static,iid,TriMean,1,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,2,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,3,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,4,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,5,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,6,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,7,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,8,losses,2.301886220359802,0.017800504981994692
CIFAR-10,softmax,static,iid,TriMean,9,losses,2.303505277442932,0.01743282030487059
CIFAR-10,softmax,static,iid,TriMean,0,xi,4.5187177658081055,0.21265675127506256
CIFAR-10,softmax,static,iid,TriMean,1,xi,3.9986016750335693,0.17931020259857178
CIFAR-10,softmax,static,iid,TriMean,2,xi,3.669546127319336,0.3848426938056946
CIFAR-10,softmax,static,iid,TriMean,3,xi,3.354060173034668,0.45751070976257324
CIFAR-10,softmax,static,iid,TriMean,4,xi,2.952045440673828,0.44724318385124207
CIFAR-10,softmax,static,iid,TriMean,5,xi,2.707242012023926,0.30315810441970825
CIFAR-10,softmax,static,iid,TriMean,6,xi,2.422135353088379,0.36678993701934814
CIFAR-10,softmax,static,iid,TriMean,7,xi,2.2564163208007812,0.45020657777786255
CIFAR-10,softmax,static,iid,TriMean,8,xi,2.1526877880096436,0.5775880217552185
CIFAR-10,softmax,static,iid,TriMean,9,xi,2.0290303230285645,0.46879181265830994
CIFAR-10,softmax,static,iid,TriMean,0,A,3.437594175338745,0.6680107116699219
CIFAR-10,softmax,static,iid,TriMean,1,A,3.048280954360962,0.6753752827644348
CIFAR-10,softmax,static,iid,TriMean,2,A,2.8241121768951416,0.630735456943512
CIFAR-10,softmax,static,iid,TriMean,3,A,2.527581214904785,0.6985713243484497
CIFAR-10,softmax,static,iid,TriMean,4,A,2.395606517791748,0.5964795351028442
CIFAR-10,softmax,static,iid,TriMean,5,A,2.2724878787994385,0.7322863340377808
CIFAR-10,softmax,static,iid,TriMean,6,A,2.1012349128723145,0.5407967567443848
CIFAR-10,softmax,static,iid,TriMean,7,A,1.8745126724243164,0.6422324776649475
CIFAR-10,softmax,static,iid,TriMean,8,A,1.8132905960083008,0.579750657081604
CIFAR-10,softmax,static,iid,TriMean,9,A,1.7435067892074585,0.4943751096725464
CIFAR-10,softmax,static,iid,TriMean,0,variance,0.00034665470593608916,8.706664630153682e-06
CIFAR-10,softmax,static,iid,TriMean,1,variance,0.0002789228456094861,6.854604635009309e-06
CIFAR-10,softmax,static,iid,TriMean,2,variance,0.00023156317183747888,1.4448265574174002e-05
CIFAR-10,softmax,static,iid,TriMean,3,variance,0.0001922001101775095,7.1393660618923604e-06
CIFAR-10,softmax,static,iid,TriMean,4,variance,0.00016051711281761527,1.6704336758266436e-06
CIFAR-10,softmax,static,iid,TriMean,5,variance,0.00013471048441715539,5.729236363549717e-06
CIFAR-10,softmax,static,iid,TriMean,6,variance,0.00011249024828430265,2.1678674499980843e-07
CIFAR-10,softmax,static,iid,TriMean,7,variance,9.611048153601587e-05,1.975466602743836e-06
CIFAR-10,softmax,static,iid,TriMean,8,variance,8.965698361862451e-05,1.8151959579881805e-07
CIFAR-10,softmax,static,iid,TriMean,9,variance,7.629398896824569e-05,2.944193511211779e-06
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_0,0.8009999999999999,0.19012000000000004
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_0,0.226,0.41159999999999997
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_1,0.0105,0.02058
